"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0070030000005",0,1,NA,"2011",NA,2011,NA,2011
"0070090000001",0,1,NA,"2012",NA,2012,NA,2012
"0070190000001",1,1,"2014","2014",2014,2014,2014,2014
"0070210000003",1,0,"2015",NA,2015,NA,2015,NA
"0070270000004",1,0,"2016",NA,2016,NA,2016,NA
"0070280000003",1,0,"2015",NA,2015,NA,2015,NA
"0070350010007",1,0,"2007",NA,2007,NA,2007,NA
"0070350010023",1,0,"2015",NA,2015,NA,2015,NA
"0070350010024",1,0,"2006",NA,2006,NA,2006,NA
"0070350010025",1,0,"2007",NA,2007,NA,2007,NA
"0070350020005",1,0,"2005",NA,2005,NA,2005,NA
"0070350020007",1,0,"2014",NA,2014,NA,2014,NA
"0070350020010",1,0,"2007",NA,2007,NA,2007,NA
"0070360030014",1,0,"2006",NA,2006,NA,2006,NA
"0070360040009",1,0,"2007",NA,2007,NA,2007,NA
"0070360040036",1,0,"2012",NA,2012,NA,2012,NA
"0070370050002",1,0,"2006",NA,2006,NA,2006,NA
"0070370050003",1,0,"2005",NA,2005,NA,2005,NA
"0070370050007",1,0,"2012",NA,2012,NA,2012,NA
"0070370060005",1,0,"2005",NA,2005,NA,2005,NA
"0070370060014",1,0,"2007",NA,2007,NA,2007,NA
"0070380070018",1,0,"2008",NA,2008,NA,2008,NA
"0070400120005",1,0,"2005",NA,2005,NA,2005,NA
"0070400120009",1,0,"2010",NA,2010,NA,2010,NA
"0070400120014",1,0,"2015",NA,2015,NA,2015,NA
"0070400120016",1,0,"2007",NA,2007,NA,2007,NA
"0070410130013",1,0,"2005",NA,2005,NA,2005,NA
"0070410130027",1,0,"2005",NA,2005,NA,2005,NA
"0070410140003",1,0,"2007",NA,2007,NA,2007,NA
"0070410140014",1,0,"2013",NA,2013,NA,2013,NA
"0070410140017",1,0,"2006",NA,2006,NA,2006,NA
"0070410140023",1,0,"2015",NA,2015,NA,2015,NA
"0070410140024",1,0,"2008",NA,2008,NA,2008,NA
"0070420150002",1,0,"2015",NA,2015,NA,2015,NA
"0070420150017",1,0,"2006",NA,2006,NA,2006,NA
"0070420160001",1,0,"2013",NA,2013,NA,2013,NA
"0070420160008",1,0,"2014",NA,2014,NA,2014,NA
"0070420160013",1,0,"2009",NA,2009,NA,2009,NA
"0070420160016",1,0,"2007",NA,2007,NA,2007,NA
"0070420160023",1,0,"2007",NA,2007,NA,2007,NA
"0070420160027",1,0,"2011",NA,2011,NA,2011,NA
"0070430170013",1,0,"2008",NA,2008,NA,2008,NA
"0070430170016",1,0,"2007",NA,2007,NA,2007,NA
"0070430170023",1,0,"2009",NA,2009,NA,2009,NA
"0070430180008",1,0,"2007",NA,2007,NA,2007,NA
"0070430180012",1,0,"2012",NA,2012,NA,2012,NA
"0070440190001",1,0,"2008",NA,2008,NA,2008,NA
"0070440190019",1,0,"2013",NA,2013,NA,2013,NA
"0070440200001",1,0,"2012",NA,2012,NA,2012,NA
"0070440200004",1,0,"2006",NA,2006,NA,2006,NA
"0070440200008",1,0,"2014",NA,2014,NA,2014,NA
"0070440200024",1,0,"2013",NA,2013,NA,2013,NA
"0070450210001",1,0,"2014",NA,2014,NA,2014,NA
"0070450210010",1,0,"2005",NA,2005,NA,2005,NA
"0070450210020",1,0,"2011",NA,2011,NA,2011,NA
"0070450210022",1,0,"2012",NA,2012,NA,2012,NA
"0070520350022",0,1,NA,"2008",NA,2008,NA,2008
"0070530370005",1,0,"2007",NA,2007,NA,2007,NA
"0070530370007",1,0,"2005",NA,2005,NA,2005,NA
"0070530370010",1,0,"2014",NA,2014,NA,2014,NA
"0070530380001",1,0,"2006",NA,2006,NA,2006,NA
"0070530380004",1,0,"2015",NA,2015,NA,2015,NA
"0070530380012",1,0,"2006",NA,2006,NA,2006,NA
"0070530380013",2,0,"2008, 2009",NA,2008,NA,2009,NA
"0070530380023",1,0,"2005",NA,2005,NA,2005,NA
"0070540390005",1,0,"2009",NA,2009,NA,2009,NA
"0070540390006",1,0,"2008",NA,2008,NA,2008,NA
"0070540390013",1,0,"2011",NA,2011,NA,2011,NA
"0070540390014",1,0,"2009",NA,2009,NA,2009,NA
"0070540390017",1,0,"2009",NA,2009,NA,2009,NA
"0070540390022",1,0,"2013",NA,2013,NA,2013,NA
"0070540400018",1,0,"2005",NA,2005,NA,2005,NA
"0070540400023",1,0,"2011",NA,2011,NA,2011,NA
"0070550410015",1,0,"2006",NA,2006,NA,2006,NA
"0070550410019",1,0,"2006",NA,2006,NA,2006,NA
"0070550410020",1,0,"2007",NA,2007,NA,2007,NA
"0070550410022",1,0,"2007",NA,2007,NA,2007,NA
"0070550420001",1,0,"2012",NA,2012,NA,2012,NA
"0070550420013",1,0,"2014",NA,2014,NA,2014,NA
"0070550420023",1,0,"2006",NA,2006,NA,2006,NA
"0070560430015",1,0,"2012",NA,2012,NA,2012,NA
"0070560430018",1,0,"2012",NA,2012,NA,2012,NA
"0070560430019",1,0,"2012",NA,2012,NA,2012,NA
"0070560430021",1,0,"2006",NA,2006,NA,2006,NA
"0070560440001",1,0,"2014",NA,2014,NA,2014,NA
"0070560440010",1,0,"2008",NA,2008,NA,2008,NA
"0070560440012",1,0,"2013",NA,2013,NA,2013,NA
"0070570460031",0,1,NA,"2006",NA,2006,NA,2006
"0070580470013",1,0,"2012",NA,2012,NA,2012,NA
"0070580470024",1,0,"2015",NA,2015,NA,2015,NA
"0070580480001",1,0,"2011",NA,2011,NA,2011,NA
"0070580480002",1,0,"2009",NA,2009,NA,2009,NA
"0070580480004",1,0,"2008",NA,2008,NA,2008,NA
"0070580480008",1,0,"2013",NA,2013,NA,2013,NA
"0070580480009",1,0,"2006",NA,2006,NA,2006,NA
"0070580480012",1,0,"2015",NA,2015,NA,2015,NA
"0070580480013",1,0,"2015",NA,2015,NA,2015,NA
"0070580480016",1,0,"2009",NA,2009,NA,2009,NA
"0070590490020",1,0,"2012",NA,2012,NA,2012,NA
"0070610000033",0,1,NA,"2015",NA,2015,NA,2015
"0070610010001",0,1,NA,"2014",NA,2014,NA,2014
"0070810000017",1,0,"2012",NA,2012,NA,2012,NA
"0070810000020",0,1,NA,"2008",NA,2008,NA,2008
"0070810000066",1,0,"2010",NA,2010,NA,2010,NA
"0070980000011",1,0,"2006",NA,2006,NA,2006,NA
"0071000000008",1,0,"2009",NA,2009,NA,2009,NA
"0071000000011",1,0,"2009",NA,2009,NA,2009,NA
"0071010000009",1,0,"2007",NA,2007,NA,2007,NA
"0071010000013",0,1,NA,"2016",NA,2016,NA,2016
"0071020000001",2,0,"2011, 2014",NA,2011,NA,2014,NA
"0071020000002",1,0,"2013",NA,2013,NA,2013,NA
"0071140000008",1,0,"2010",NA,2010,NA,2010,NA
"0071260000001",1,0,"2007",NA,2007,NA,2007,NA
"0071260030011",1,0,"2012",NA,2012,NA,2012,NA
"0071260080005",1,0,"2008",NA,2008,NA,2008,NA
"0071260100004",1,0,"2011",NA,2011,NA,2011,NA
"0071270000012",1,0,"2008",NA,2008,NA,2008,NA
"0071280000007",1,0,"2010",NA,2010,NA,2010,NA
"0071290000008",1,0,"2008",NA,2008,NA,2008,NA
"0071300000001",1,0,"2011",NA,2011,NA,2011,NA
"0071300000002",1,0,"2011",NA,2011,NA,2011,NA
"0071350000011",1,0,"2009",NA,2009,NA,2009,NA
"0071420000001",0,3,NA,"2011, 2014",NA,2011,NA,2014
"0071570000008",1,0,"2016",NA,2016,NA,2016,NA
"0071650000003",1,0,"2008",NA,2008,NA,2008,NA
"0071670000017",1,0,"2013",NA,2013,NA,2013,NA
"0071760020006",1,0,"2015",NA,2015,NA,2015,NA
"0071780050003",1,0,"2013",NA,2013,NA,2013,NA
"0071780050009",1,0,"2013",NA,2013,NA,2013,NA
"0071780060010",1,0,"2013",NA,2013,NA,2013,NA
"0071890020002",0,1,NA,"2009",NA,2009,NA,2009
"0071890040008",1,0,"2009",NA,2009,NA,2009,NA
"0071890050001",1,0,"2009",NA,2009,NA,2009,NA
"0071960000012",1,0,"2013",NA,2013,NA,2013,NA
"0071990000003",1,0,"2007",NA,2007,NA,2007,NA
"0071990000005",1,0,"2015",NA,2015,NA,2015,NA
"0072000000010",0,1,NA,"2010",NA,2010,NA,2010
"0072020000009",1,0,"2008",NA,2008,NA,2008,NA
"0072020000010",1,0,"2013",NA,2013,NA,2013,NA
"0072020000011",1,3,"2009","2009, 2010, 2011",2009,2009,2009,2011
"0072070000005",0,1,NA,"2011",NA,2011,NA,2011
