,account,permitID,agencyID,permitStatus,desc,stateClass,permitType,propertyType,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
,account,permitID,ERROR: KEY NOT FOUND,ERROR: KEY NOT FOUND,desc,ERROR: KEY NOT FOUND,permitTypeDesc,ERROR: KEY NOT FOUND,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
12951,700770010002,1126810,CITY OF HOUSTON,Complete,DEMO M/H,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,08/22/2007,2008,1019,NA,SHERWOOD FOREST,NA,ST,NA
12953,700770030011,1328323,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,10/04/2012,2016,1430,NA,UPLAND,NA,DR,NA
12954,700770050021,1329432,CITY OF HOUSTON,Complete,CARPORT DEMO NO SD NEEDED,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,10/19/2012,2014,1621,NA,UPLAND,NA,DR,NA
12955,700780090002,1409386,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/17/2014,2015,1812,NA,UPLAND,NA,DR,NA
12956,700780090012,1409385,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/17/2014,2015,1806,NA,UPLAND,NA,DR,NA
12958,700810020012,1261561,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/01/2011,2012,3946,NA,SOUTHLAWN,NA,ST,NA
12959,700810020013,1125321,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISCONNECT,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,02/01/2007,2008,3947,NA,FAULKNER,NA,ST,NA
12960,700810020023,1306549,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/11/2012,2013,3907,NA,FAULKNER,NA,ST,NA
12961,700810030006,1219208,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,02/26/2010,2011,3922,NA,FAULKNER,NA,ST,NA
12963,700830030019,1166921,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,09/23/2008,2009,3344,NA,PROSPECT,NA,ST,NA
12972,700940030282,1,CITY OF GALENA PARK,Complete,DEMO GAR,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,11/03/2008,2009,2102,NA,8TH,NA,ST,NA
12973,700940030290,2,ERROR: KEY NOT FOUND,Complete,GARAGE DEMO,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,03/31/2009,2009,2105,NA,9TH,NA,ST,NA
12974,700940030331,3,ERROR: KEY NOT FOUND,Complete,RESIDENTIAL DEMO,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,03/25/2008,2010,2006,NA,10TH,NA,ST,NA
12978,700940040444,1,CITY OF GALENA PARK,Complete,DEMO,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,10/14/2009,2010,2107,NA,12TH,ST,NA,NA
12981,700950030012,1115131,CITY OF HOUSTON,Complete,DANGEROUS BUILDING REPAIR/RESIDENCE,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,09/21/2007,2008,63,NA,DE BOLL,NA,ST,NA
12982,700950130001,1,ERROR: KEY NOT FOUND,Complete,OLD DET GAR DEMO/,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,02/14/2011,2011,44,NA,FICHTER,NA,ST,NA
12986,701050010018,1,CITY OF HOUSTON,Complete,Demolition,Condo - High Rise,Residential Demolition,Real Property Other Mineral Reserves,08/18/2003,2005,3415,NA,EASY,ST,NA,NA
12987,701050020006,1262144,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/08/2011,2012,3719,NA,EASY,NA,ST,NA
12988,701050050002,1261358,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,02/25/2011,2012,5012,NA,RUSSELL,NA,ST,NA
12989,701060040011,1058795,CITY OF HOUSTON,Complete,DEMO,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,09/12/2006,2007,3512,NA,COLLINGSWORTH,NA,ST,NA
